Datetime,ETH-BTC_Open,ETH-BTC_Close,ETH-BTC_Volume,ETH-BTC_High,ETH-BTC_Low,ETH-BTC_Price,LTC-BTC_Open,LTC-BTC_Close,LTC-BTC_Volume,LTC-BTC_High,LTC-BTC_Low,LTC-BTC_Price,BNB-BTC_Open,BNB-BTC_Close,BNB-BTC_Volume,BNB-BTC_High,BNB-BTC_Low,BNB-BTC_Price,NEO-BTC_Open,NEO-BTC_Close,NEO-BTC_Volume,NEO-BTC_High,NEO-BTC_Low,NEO-BTC_Price,QTUM-ETH_Open,QTUM-ETH_Close,QTUM-ETH_Volume,QTUM-ETH_High,QTUM-ETH_Low,QTUM-ETH_Price,EOS-ETH_Open,EOS-ETH_Close,EOS-ETH_Volume,EOS-ETH_High,EOS-ETH_Low,EOS-ETH_Price,SNT-ETH_Open,SNT-ETH_Close,SNT-ETH_Volume,SNT-ETH_High,SNT-ETH_Low,SNT-ETH_Price,BNT-ETH_Open,BNT-ETH_Close,BNT-ETH_Volume,BNT-ETH_High,BNT-ETH_Low,BNT-ETH_Price,GAS-BTC_Open,GAS-BTC_Close,GAS-BTC_Volume,GAS-BTC_High,GAS-BTC_Low,GAS-BTC_Price,BNB-ETH_Open,BNB-ETH_Close,BNB-ETH_Volume,BNB-ETH_High,BNB-ETH_Low,BNB-ETH_Price,LRC-BTC_Open,LRC-BTC_Close,LRC-BTC_Volume,LRC-BTC_High,LRC-BTC_Low,LRC-BTC_Price,LRC-ETH_Open,LRC-ETH_Close,LRC-ETH_Volume,LRC-ETH_High,LRC-ETH_Low,LRC-ETH_Price,QTUM-BTC_Open,QTUM-BTC_Close,QTUM-BTC_Volume,QTUM-BTC_High,QTUM-BTC_Low,QTUM-BTC_Price
2024-11-23 23:46:00+00:00,0.03480025753378868,0.03480025753378868,0.0,0.03480025753378868,0.03480025753378868,0.03480025753378868,0.0010187274310737848,0.0010187274310737848,0.0,0.0010187274310737848,0.0010187274310737848,0.0010187274310737848,0.006680689286440611,0.006680689286440611,0.0,0.006680689286440611,0.006680689286440611,0.006680689286440611,0.00014786682731937617,0.00014786682731937617,0.0,0.00014786682731937617,0.00014786682731937617,0.00014786682731937617,0.0010884482180699706,0.0010884482180699706,0.0,0.0010884482180699706,0.0010884482180699706,0.0010884482180699706,0.00022542102669831365,0.00022542102669831365,0.0,0.00022542102669831365,0.00022542102669831365,0.00022542102669831365,1.398932272422826e-05,1.398932272422826e-05,0.0,1.398932272422826e-05,1.398932272422826e-05,1.398932272422826e-05,0.0002033319469774142,0.0002033319469774142,0.0,0.0002033319469774142,0.0002033319469774142,0.0002033319469774142,5.3305146138882264e-05,5.3305146138882264e-05,0.0,5.3305146138882264e-05,5.3305146138882264e-05,5.3305146138882264e-05,0.19197241961956024,0.19197241961956024,0.0,0.19197241961956024,0.19197241961956024,0.19197241961956024,2.120101953551057e-06,2.120101953551057e-06,0.0,2.120101953551057e-06,2.120101953551057e-06,2.120101953551057e-06,6.092202238505706e-05,6.092202238505706e-05,0.0,6.092202238505706e-05,6.092202238505706e-05,6.092202238505706e-05,3.787827881751582e-05,3.787827881751582e-05,0.0,3.787827881751582e-05,3.787827881751582e-05,3.787827881751582e-05
2024-11-23 23:48:00+00:00,0.03479117527604103,0.03479117527604103,0.0,0.03479117527604103,0.03479117527604103,0.03479117527604103,0.001018789946101606,0.0010175021598115563,0.0,0.001018789946101606,0.0010175021598115563,0.001018789946101606,0.006683119107037783,0.006676272489130497,17.0,0.006683119107037783,0.006676272489130497,0.006683119107037783,0.00014789380657020956,0.00014774684677831829,0.0,0.00014789380657020956,0.00014774684677831829,0.00014789380657020956,0.0010886633535847068,0.0010869543766602874,0.0,0.0010886633535847068,0.0010869543766602874,0.0010886633535847068,0.00022552321024704725,0.00022509142581839114,103.0,0.00022552321024704725,0.00022509142581839114,0.00022552321024704725,1.400133714923868e-05,1.3986591511638835e-05,118.0,1.400133714923868e-05,1.3986591511638835e-05,1.400133714923868e-05,0.0002034354256466031,0.00020323088392615318,9.0,0.0002034354256466031,0.00020323088392615318,0.0002034354256466031,5.32601225131657e-05,5.324014273355715e-05,1.0,5.32601225131657e-05,5.324014273355715e-05,5.32601225131657e-05,0.19209235906600952,0.19189557433128357,745.0,0.19209235906600952,0.19189557433128357,0.19209235906600952,2.120861836374388e-06,2.1193256998230936e-06,0.0,2.120861836374388e-06,2.1193256998230936e-06,2.120861836374388e-06,6.095976277720183e-05,6.091560862842016e-05,8.0,6.095976277720183e-05,6.091560862842016e-05,6.095976277720183e-05,3.787587775150314e-05,3.781641862588003e-05,0.0,3.787587775150314e-05,3.781641862588003e-05,3.787587775150314e-05
2024-11-23 23:51:00+00:00,0.034709252417087555,0.034709252417087555,254.0,0.034709252417087555,0.034709252417087555,0.034709252417087555,0.0010179082164540887,0.0010157718788832426,0.0,0.0010179082164540887,0.0010157718788832426,0.0010179082164540887,0.0066780406050384045,0.006661091931164265,1.0,0.0066780406050384045,0.006661091931164265,0.0066780406050384045,0.00014777919568587095,0.00014736506273038685,0.0,0.00014777919568587095,0.00014736506273038685,0.00014777919568587095,0.0010909916600212455,0.0010863147908821702,53.0,0.0010909916600212455,0.0010863147908821702,0.0010909916600212455,0.00022581893426831812,0.00022525219537783414,466.0,0.00022581893426831812,0.00022525219537783414,0.00022581893426831812,1.4041102986084297e-05,1.4052680853637867e-05,302.0,1.4052680853637867e-05,1.4041102986084297e-05,1.4041102986084297e-05,0.00020381869398988783,0.00020297180162742734,12.0,0.00020381869398988783,0.00020297180162742734,0.00020381869398988783,5.32462217961438e-05,5.313076690072194e-05,1.0,5.32462217961438e-05,5.313076690072194e-05,5.32462217961438e-05,0.19239942729473114,0.19191113114356995,2307.0,0.19239942729473114,0.19191113114356995,0.19239942729473114,2.1174189441808267e-06,2.1092027964186855e-06,0.0,2.1174189441808267e-06,2.1092027964186855e-06,2.1174189441808267e-06,6.1004451708868146e-05,6.076773934182711e-05,31.0,6.1004451708868146e-05,6.076773934182711e-05,6.1004451708868146e-05,3.786750676226802e-05,3.770517650991678e-05,0.0,3.786750676226802e-05,3.770517650991678e-05,3.786750676226802e-05
2024-11-23 23:52:00+00:00,0.03471341356635094,0.034764837473630905,120.0,0.034764837473630905,0.03471341356635094,0.03471341356635094,0.0010156232165172696,0.0010164702543988824,0.0,0.0010164702543988824,0.0010156232165172696,0.0010156232165172696,0.0066610462963581085,0.0066635566763579845,0.0,0.0066635566763579845,0.0066610462963581085,0.0066610462963581085,0.0001473397423978895,0.00014739949256181717,0.0,0.00014739949256181717,0.0001473397423978895,0.0001473397423978895,0.001086586038582027,0.0010869974503293633,0.0,0.0010869974503293633,0.001086586038582027,0.001086586038582027,0.0002251833793707192,0.00022531098511535674,0.0,0.00022531098511535674,0.0002251833793707192,0.0002251833793707192,1.4045183888811152e-05,1.4067072697798721e-05,59.0,1.4067072697798721e-05,1.4045183888811152e-05,1.4045183888811152e-05,0.00020289578242227435,0.00020316752488724887,0.0,0.00020316752488724887,0.00020289578242227435,0.00020289578242227435,5.312908615451306e-05,5.317245813785121e-05,0.0,5.317245813785121e-05,5.312908615451306e-05,5.312908615451306e-05,0.1918868124485016,0.19195912778377533,0.0,0.19195912778377533,0.1918868124485016,0.1918868124485016,2.109545221173903e-06,2.1125197235960513e-06,0.0,2.1125197235960513e-06,2.109545221173903e-06,2.109545221173903e-06,6.077031866880134e-05,6.085600398364477e-05,0.0,6.085600398364477e-05,6.077031866880134e-05,6.077031866880134e-05,3.7719109968747944e-05,3.7733392673544586e-05,0.0,3.7733392673544586e-05,3.7719109968747944e-05,3.7719109968747944e-05
2024-11-23 23:54:00+00:00,0.034748733043670654,0.03477127104997635,0.0,0.03477127104997635,0.034748733043670654,0.034748733043670654,0.0010166253196075559,0.0010167030850425363,0.0,0.0010167030850425363,0.0010166253196075559,0.0010166253196075559,0.006660002283751965,0.006662315689027309,0.0,0.006662315689027309,0.006660002283751965,0.006660002283751965,0.00014740646292921156,0.00014741974882781506,0.0,0.00014741974882781506,0.00014740646292921156,0.00014740646292921156,0.0010866657830774784,0.0010870646219700575,0.0,0.0010870646219700575,0.0010866657830774784,0.0010866657830774784,0.00022503382933791727,0.0002250364632345736,0.0,0.0002250364632345736,0.00022503382933791727,0.00022503382933791727,1.408086609444581e-05,1.4082939742365852e-05,0.0,1.4082939742365852e-05,1.408086609444581e-05,1.408086609444581e-05,0.0002032777265412733,0.00020329149265307933,0.0,0.00020329149265307933,0.0002032777265412733,0.0002032777265412733,5.3190949984127656e-05,5.3184321586741135e-05,0.0,5.3190949984127656e-05,5.3184321586741135e-05,5.3190949984127656e-05,0.19166173040866852,0.19172830879688263,0.0,0.19172830879688263,0.19166173040866852,0.19166173040866852,2.1159369225642877e-06,2.116770701832138e-06,0.0,2.116770701832138e-06,2.1159369225642877e-06,2.1159369225642877e-06,6.089248927310109e-05,6.0916489019291475e-05,0.0,6.0916489019291475e-05,6.089248927310109e-05,6.089248927310109e-05,3.776025914703496e-05,3.777411620831117e-05,0.0,3.777411620831117e-05,3.776025914703496e-05,3.776025914703496e-05
2024-11-23 23:57:00+00:00,0.034752048552036285,0.034752048552036285,0.0,0.034752048552036285,0.034752048552036285,0.034752048552036285,0.0010153352050110698,0.001016237773001194,0.0,0.001016237773001194,0.0010153352050110698,0.0010153352050110698,0.006655793637037277,0.006658725440502167,0.0,0.006658725440502167,0.006655793637037277,0.006655793637037277,0.00014730346447322518,0.00014736187586095184,0.0,0.00014736187586095184,0.00014730346447322518,0.00014730346447322518,0.001085361116565764,0.001086156233213842,0.0,0.001086156233213842,0.001085361116565764,0.001085361116565764,0.00022470606199931353,0.0002248428645543754,0.0,0.0002248428645543754,0.00022470606199931353,0.00022470606199931353,1.4070389624976087e-05,1.4146158719086088e-05,0.0,1.4146158719086088e-05,1.4070389624976087e-05,1.4070389624976087e-05,0.00020297391165513545,0.0002030417526839301,0.0,0.0002030417526839301,0.00020297391165513545,0.00020297391165513545,5.3131643653614447e-05,5.312476059771143e-05,0.0,5.3131643653614447e-05,5.312476059771143e-05,5.3131643653614447e-05,0.19152234494686127,0.19160670042037964,0.0,0.19160670042037964,0.19152234494686127,0.19152234494686127,2.113742993969936e-06,2.1160749383852817e-06,0.0,2.1160749383852817e-06,2.113742993969936e-06,2.113742993969936e-06,6.082355321268551e-05,6.089065209380351e-05,0.0,6.089065209380351e-05,6.082355321268551e-05,6.082355321268551e-05,3.7718520616181195e-05,3.7746154703199863e-05,0.0,3.7746154703199863e-05,3.7718520616181195e-05,3.7718520616181195e-05
2024-11-23 23:58:00+00:00,0.03474364057183266,0.03474364057183266,83.0,0.03474364057183266,0.03474364057183266,0.03474364057183266,0.001016472466289997,0.001016472466289997,3.0,0.001016472466289997,0.001016472466289997,0.001016472466289997,0.006659780163317919,0.006659780163317919,25.0,0.006659780163317919,0.006659780163317919,0.006659780163317919,0.00014741873019374907,0.00014741873019374907,0.0,0.00014741873019374907,0.00014741873019374907,0.00014741873019374907,0.0010865726508200169,0.0010865726508200169,0.0,0.0010865726508200169,0.0010865726508200169,0.0010865726508200169,0.00022491399431601167,0.00022491399431601167,46.0,0.00022491399431601167,0.00022491399431601167,0.00022491399431601167,1.4144663509796374e-05,1.4144663509796374e-05,60.0,1.4144663509796374e-05,1.4144663509796374e-05,1.4144663509796374e-05,0.0002031438343692571,0.0002031438343692571,14.0,0.0002031438343692571,0.0002031438343692571,0.0002031438343692571,5.315688395057805e-05,5.315688395057805e-05,0.0,5.315688395057805e-05,5.315688395057805e-05,5.315688395057805e-05,0.19168342649936676,0.19168342649936676,954.0,0.19168342649936676,0.19168342649936676,0.19168342649936676,2.1164216832403326e-06,2.1164216832403326e-06,0.0,2.1164216832403326e-06,2.1164216832403326e-06,2.1164216832403326e-06,6.0915364883840084e-05,6.0915364883840084e-05,0.0,6.0915364883840084e-05,6.0915364883840084e-05,6.0915364883840084e-05,3.775148798013106e-05,3.775148798013106e-05,0.0,3.775148798013106e-05,3.775148798013106e-05,3.775148798013106e-05
2024-11-24 00:00:00+00:00,0.03474592790007591,0.03474592790007591,41.0,0.03474592790007591,0.03474592790007591,0.03474592790007591,0.0010166886495426297,0.0010166886495426297,2.0,0.0010166886495426297,0.0010166886495426297,0.0010166886495426297,0.006659386213868856,0.006659386213868856,10.0,0.006659386213868856,0.006659386213868856,0.006659386213868856,0.00014736145385541022,0.00014736145385541022,0.0,0.00014736145385541022,0.00014736145385541022,0.00014736145385541022,0.001086682197637856,0.001086682197637856,1.0,0.001086682197637856,0.001086682197637856,0.001086682197637856,0.00022497703321278095,0.00022497703321278095,7.0,0.00022497703321278095,0.00022497703321278095,0.00022497703321278095,1.4145268323773053e-05,1.4145268323773053e-05,18.0,1.4145268323773053e-05,1.4145268323773053e-05,1.4145268323773053e-05,0.00020315528672654182,0.00020315528672654182,0.0,0.00020315528672654182,0.00020315528672654182,0.00020315528672654182,5.3192437917459756e-05,5.3192437917459756e-05,0.0,5.3192437917459756e-05,5.3192437917459756e-05,5.3192437917459756e-05,0.19165946543216705,0.19165946543216705,288.0,0.19165946543216705,0.19165946543216705,0.19165946543216705,2.11364499591582e-06,2.11364499591582e-06,0.0,2.11364499591582e-06,2.11364499591582e-06,2.11364499591582e-06,6.083144398871809e-05,6.083144398871809e-05,0.0,6.083144398871809e-05,6.083144398871809e-05,6.083144398871809e-05,3.775778168346733e-05,3.775778168346733e-05,0.0,3.775778168346733e-05,3.775778168346733e-05,3.775778168346733e-05
2024-11-24 00:02:00+00:00,0.03475937619805336,0.034779906272888184,0.0,0.034779906272888184,0.03475937619805336,0.03475937619805336,0.0010175668867304921,0.001017333590425551,0.0,0.0010175668867304921,0.001017333590425551,0.0010175668867304921,0.0066578141413629055,0.006660410203039646,42.0,0.006660410203039646,0.0066578141413629055,0.0066578141413629055,0.0001472228905186057,0.00014715515135321766,0.0,0.0001472228905186057,0.00014715515135321766,0.0001472228905186057,0.001085111522115767,0.0010822422336786985,0.0,0.001085111522115767,0.0010822422336786985,0.001085111522115767,0.00022487342357635498,0.00022459505998995155,0.0,0.00022487342357635498,0.00022459505998995155,0.00022487342357635498,1.3973581189929973e-05,1.3828072951582726e-05,112.0,1.3973581189929973e-05,1.3828072951582726e-05,1.3973581189929973e-05,0.00020306900842115283,0.00020254259288776666,0.0,0.00020306900842115283,0.00020254259288776666,0.00020306900842115283,5.3104289690963924e-05,5.297244570101611e-05,0.0,5.3104289690963924e-05,5.297244570101611e-05,5.3104289690963924e-05,0.19154010713100433,0.1916147917509079,837.0,0.1916147917509079,0.19154010713100433,0.19154010713100433,2.115654524459387e-06,2.108354692609282e-06,0.0,2.115654524459387e-06,2.108354692609282e-06,2.115654524459387e-06,6.086572466301732e-05,6.0655715060420334e-05,0.0,6.086572466301732e-05,6.0655715060420334e-05,6.086572466301732e-05,3.771780029637739e-05,3.761806510738097e-05,0.0,3.771780029637739e-05,3.761806510738097e-05,3.771780029637739e-05
2024-11-24 00:04:00+00:00,0.03478500619530678,0.034779757261276245,0.0,0.03478500619530678,0.034779757261276245,0.03478500619530678,0.0010173849295824766,0.0010173849295824766,0.0,0.0010173849295824766,0.0010173849295824766,0.0010173849295824766,0.006657283753156662,0.006657283753156662,0.0,0.006657283753156662,0.006657283753156662,0.006657283753156662,0.00014704481873195618,0.00014704481873195618,0.0,0.00014704481873195618,0.00014704481873195618,0.00014704481873195618,0.0010815351270139217,0.0010815351270139217,0.0,0.0010815351270139217,0.0010815351270139217,0.0010815351270139217,0.00022429961245507002,0.00022429961245507002,0.0,0.00022429961245507002,0.00022429961245507002,0.00022429961245507002,1.3753759958490264e-05,1.3753759958490264e-05,0.0,1.3753759958490264e-05,1.3753759958490264e-05,1.3753759958490264e-05,0.00020233614486642182,0.00020233614486642182,0.0,0.00020233614486642182,0.00020233614486642182,0.00020233614486642182,5.2935440180590376e-05,5.2935440180590376e-05,0.0,5.2935440180590376e-05,5.2935440180590376e-05,5.2935440180590376e-05,0.1913837194442749,0.1913837194442749,0.0,0.1913837194442749,0.1913837194442749,0.1913837194442749,2.10861776395177e-06,2.10861776395177e-06,0.0,2.10861776395177e-06,2.10861776395177e-06,2.10861776395177e-06,6.0618585848715156e-05,6.0618585848715156e-05,0.0,6.0618585848715156e-05,6.0618585848715156e-05,6.0618585848715156e-05,3.762120468309149e-05,3.762120468309149e-05,0.0,3.762120468309149e-05,3.762120468309149e-05,3.762120468309149e-05
