Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,VWAP,CMF,CCI,ADX,OBV,V_Pattern,V2_Pattern,Outcome,LR,HR,CR
2010-03-16,13.010000228881836,13.34000015258789,13.010000228881836,13.18000030517578,9229900.0,-1.2683377498541508,-1.3016644104801491,1.6250099612213853,-1.082624720819709,-1.1369580950991465,1.7425783553553391,1.1376705400706117,-1.4864441802801505,0,0,0,,,
2010-03-17,13.18000030517578,13.25,12.960000038146973,13.029999732971191,7235200.0,-1.2662709801463967,-1.2995946150485087,1.1224058724338122,-1.0807832927446115,-1.3598675769464863,1.2158075813907068,1.2771928662392942,-1.50572959831958,0,0,0,-0.016691977385039424,0.01213959360450692,0.01820939040676018
2010-03-18,13.020000457763672,13.279999732971191,13.020000457763672,13.0600004196167,7053800.0,-1.2645393594036316,-1.2981513518843455,1.170015732530549,-1.0789865428110552,-1.7977329343074921,1.1374927472085268,1.4133083517108709,-1.4869277017905929,0,0,0,-0.004604790548450572,0.024558687749968985,0.012279343874984356
2010-03-19,12.8100004196167,13.210000038146973,12.729999542236328,12.8100004196167,10408300.0,-1.2634780445814893,-1.2965962074246435,0.42069353707184615,-1.0770116501122553,-1.86366949976249,0.4196901004796393,1.3356081513787783,-1.5146710145642264,0,0,0,-0.006125641256504573,0.04058190780569259,0.045176047469904175
2010-03-22,12.75,13.0600004196167,12.710000038146973,12.93000030517578,7060300.0,-1.2622770825815695,-1.295097003612711,0.6452843231297408,-1.0755237371641788,-1.4929563951005875,0.313209628864142,1.2512533733444684,-1.4958517922920316,0,0,0,-0.0031225574194184316,0.04605777777215284,0.020296660450040457
2010-03-23,12.960000038146973,13.079999923706056,12.800000190734863,13.029999732971191,6042500.0,-1.2605175345340875,-1.2931950290574001,0.8217789624715117,-1.0741456960241957,-1.0243618281910096,0.46780589201911044,1.1802571539741664,-1.479745514856266,0,0,0,-0.01933487966739853,0.029389025945251283,0.005413742704723557
2010-03-24,13.029999732971191,13.100000381469728,12.84000015258789,13.0,5795900.0,-1.258953490937365,-1.2914720637213686,0.7317635120039255,-1.0728896739106348,-0.8223954684956334,0.44479985938977606,1.121998807598837,-1.4951944802497212,0,0,0,-0.024558687749968985,0.023791283650779534,-0.03453567294605944
2010-03-25,13.050000190734863,13.300000190734863,13.029999732971191,13.06999969482422,6766100.0,-1.2571660155851663,-1.2895253368612378,0.8622132080051693,-1.071352472743044,-1.1873850666141355,0.8935669190522278,1.1377977377172936,-1.4771594477700962,0,0,0,-0.0261538578913762,0.022307689373309795,-0.05076921903170072
2010-03-26,13.079999923706056,13.220000267028809,12.84000015258789,13.050000190734863,9135200.0,-1.2558533363757338,-1.2878247471441262,0.7960851413646833,-1.0693726136357953,-1.215618404605516,0.4888912922539868,1.0295432015437451,-1.5015093138240816,0,0,0,-0.02830909672519774,0.01989290244473345,-0.009181322751415541
2010-03-29,13.109999656677246,13.260000228881836,13.09000015258789,13.18000030517578,7169500.0,-1.2545406571663016,-1.285900395902916,1.0435886865644817,-1.0676645967664098,-1.09972745928927,0.9117863939576641,0.9442732409830116,-1.4823990190659977,0,0,0,-0.03065131131678159,0.017624558816017374,-0.019157087842611147
2010-03-30,13.220000267028809,13.260000228881836,12.920000076293944,13.09000015258789,5799800.0,-1.2532559079251344,-1.2838753517091164,0.7365627637091307,-1.0664221630061397,-0.7463146630002145,0.5366038960027473,0.7671249053948603,-1.4978583799053777,0,0,0,-0.03869500888262947,0.00910469520338009,-0.006069796802253393
2010-03-31,13.0600004196167,13.420000076293944,13.0600004196167,13.220000267028809,8113800.0,-1.2513846426681403,-1.2817272389438068,0.9880043147747503,-1.0645061320242504,-0.35534804634928807,0.9980527586860357,0.6674663392651673,-1.4762310544840596,0,0,0,-0.026737996744830562,0.027501883306401066,-0.012987018664039994
2010-04-01,13.369999885559082,13.43000030517578,13.100000381469728,13.210000038146973,7826300.0,-1.2496809545571885,-1.2796238784833172,0.9525099387398697,-1.0627219965843933,-0.3836296142896022,0.9563543729938428,0.578816983395353,-1.4970920489558068,0,0,0,-0.04992434448418087,0.004538609561630706,-0.044629360111237956
2010-04-05,13.279999732971191,13.369999885559082,13.079999923706056,13.15999984741211,7981900.0,-1.2483403480430395,-1.2779680421380049,0.7697426469341746,-1.0610290264648952,-0.676255518027159,0.6984288015933071,0.48427630467105526,-1.5183677950649568,0,0,0,-0.043149106220909235,0.011355077348329011,-0.029523042280259107
2010-04-06,13.109999656677246,13.449999809265137,13.100000381469728,13.449999809265137,9833100.0,-1.2458267094972357,-1.2759877513160038,1.3081042263323936,-1.0584373017203936,0.06629435480566645,1.1433229338056161,0.4304588694756541,-1.4921576772902563,0,0,0,-0.03039510814348016,0.025835878155785166,-0.03571423395167567
