Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,VWAP,CMF,CCI,ADX,OBV,V_Pattern,V2_Pattern,Outcome,LR,HR,CR
2010-03-16,52.7400016784668,52.959999084472656,52.4900016784668,52.84999847412109,4126300.0,-1.5578365955490343,-1.61121013588135,0.10649102625791507,-1.4999014519056373,1.0359719862971997,-0.5195311659733811,-0.18889249585562562,-1.9042094171171067,0,0,0,,,
2010-03-17,53.11000061035156,53.540000915527344,52.84999847412109,52.9900016784668,5519100.0,-1.5560911144178289,-1.6094057373083437,0.21329898922974025,-1.4964262122297791,0.13752890762363842,-0.08513639204406472,-0.24359734347453715,-1.8541339000747963,0,1,0,-0.011731295170961241,0.008136240635585606,-0.03197734134720531
2010-03-18,53.08000183105469,53.709999084472656,52.95000076293945,53.380001068115234,4113000.0,-1.5551902230093628,-1.6067104881261878,0.5023314441497777,-1.4934620715811675,-0.3369956331026997,0.2536369276368597,-0.2672061887529347,-1.8168161124653992,0,1,0,-0.011134178786554845,0.011888983458439419,-0.04415927681577676
2010-03-19,53.459999084472656,53.59999847412109,52.77999877929688,53.459999084472656,13199100.0,-1.5543737921840914,-1.6035783246063373,0.5605444725689368,-1.4842629839085903,0.9175967879238313,0.08942485516248042,-0.3283093699945808,-1.6970589497045938,0,1,0,-0.018171550891655095,0.00468340192951643,-0.042150617365647874
2010-03-22,53.29999923706055,53.58000183105469,53.18000030517578,53.38999938964844,3817700.0,-1.5538811188731292,-1.600877402167774,0.48221608661730453,-1.4818407706202763,0.9079828106472502,0.25221108223396654,-0.38504803829039463,-1.7316974417435909,0,1,0,-0.015151469743085202,0.007669282724159136,-0.061728381847635024
2010-03-23,53.54999923706055,53.900001525878906,53.34999847412109,53.900001525878906,3244300.0,-1.5517133455654226,-1.5978473745795687,0.8641598650887439,-1.479384143943204,2.3592956432931924,0.8174337096820903,-0.38026504842255116,-1.7022614829930034,-1,1,0,-0.019853859724884515,0.0065555776890722315,-0.05487919720306022
2010-03-24,53.86000061035156,54.2599983215332,53.70000076293945,54.060001373291016,3218200.0,-1.549925636827488,-1.5947152110597185,0.9758255810961128,-1.4768647131984851,2.154534967378513,1.2539760031437721,-0.3173581787868885,-1.6730623329602872,-1,1,0,-0.025417419166991872,0.007421107604043211,-0.07532469867077267
2010-03-25,54.29999923706055,54.5,54.0099983215332,54.08000183105469,4123700.0,-1.5480534675063586,-1.5917475979501505,0.9902805067716656,-1.4736976315602999,1.1692909882575668,1.463825181265679,-0.2229252293612451,-1.6356474628496938,0,1,0,-0.033481271043548304,0.0036996070636110983,-0.09322975929514896
2010-03-26,54.27999877929688,54.7400016784668,54.15999984741211,54.34999847412109,3422700.0,-1.545576016133077,-1.5887232457828915,1.1864705212465827,-1.470895423420102,1.2092023013899198,1.5279486869848313,-0.10093823029556379,-1.6045928575371038,0,1,0,-0.033099057696447866,0.008505970480677102,-0.07747778263393
2010-03-29,54.47999954223633,54.81999969482422,54.34999847412109,54.7599983215332,2644700.0,-1.5432111788707217,-1.5856137796177487,1.4596205645069311,-1.468493620603363,1.5376286857757218,1.5112003279656228,0.023664338136753466,-1.5805971481058925,0,1,0,-0.03661449714146864,0.006255752753144652,-0.08647655740372036
2010-03-30,54.83000183105469,54.83000183105469,53.79999923706055,53.93000030517578,3517500.0,-1.5423102874622556,-1.5826972366385421,0.42448459189849785,-1.4661152830354645,0.8809089901733577,0.7020520334369883,-0.0159010354354051,-1.6125118862328203,0,1,0,-0.04273192520657429,0.0,-0.0847334431440464
2010-03-31,53.79999923706055,54.150001525878906,53.68999862670898,53.93999862670898,3357100.0,-1.5411560196739416,-1.580138169420092,0.43255394140426323,-1.4638892268452235,1.5351927984515112,0.28241283039887216,-0.08074745962007246,-1.5820524783107421,0,1,0,-0.02429070185760831,0.01909887981022854,-0.06730949467038766
2010-04-01,54.2400016784668,54.33000183105469,53.59000015258789,53.91999816894531,3725300.0,-1.5406351928352475,-1.5773067404387688,0.4085948089213677,-1.4614956584327305,1.0057695557086204,0.2682657519968472,-0.10730876256852458,-1.6158526130496886,0,1,0,-0.03244345651750663,0.010938082454747146,-0.076381217120424
2010-04-05,54.150001525878906,54.150001525878906,53.18000030517578,53.33000183105469,4362000.0,-1.541493851267248,-1.57482143637631,-0.2515532804959218,-1.4594028638989254,-0.054435369553707244,-0.26754821841584386,-0.23621629232719235,-1.655429610266365,0,1,0,-0.03078634836393911,0.012611282052443034,-0.07474040672937524
2010-04-06,53.15999984741211,53.18000030517578,52.43000030517578,52.59000015258789,6585300.0,-1.543197099421988,-1.5723928757006196,-0.9135129728439056,-1.457532595207858,-0.814291223739119,-1.2673547815337898,-0.3190661064697704,-1.7151788995306885,0,1,0,-0.013688346468633362,0.03131449327403016,-0.06244136324815059
2010-04-07,52.52000045776367,53.18999862670898,52.27999877929688,52.5,5631700.0,-1.5447032782523424,-1.5703444859758549,-0.9859749028963221,-1.456114945175245,-0.7437068688783148,-1.2272978996904058,-0.3696971670682327,-1.7662760511182987,0,1,0,-0.004563637150987526,0.043924726499118355,-0.04525577222304148
