Datetime,Open,High,Low,Close,Volume,MA20,MA50,RSI,VWAP,CMF,CCI,ADX,OBV,V_Pattern,V2_Pattern,Outcome,LR,HR,CR
2023-01-18 11:00:00+00:00,0.13398879766464233,0.13553792238235474,0.13379529118537903,0.13546475768089294,2159712.0,1.3410020397104052,1.3372420067117399,-0.2655680417402981,1.4443240233965209,0.00569747267571264,-0.9544314718625021,-1.2356220480556506,-1.7212008908381977,0,0,0,,,
2023-01-18 12:00:00+00:00,0.1354580521583557,0.13701550662517548,0.135332390666008,0.1366448551416397,744904.0,1.3420787857251764,1.337444327183412,0.2756827135258858,1.4451938411365808,0.012723788142180595,0.08232669171203538,-1.2525204384218531,-1.7208874827893075,0,0,0,-0.01227449117720759,0.011497119202682775,-0.06309792026871748
2023-01-18 13:00:00+00:00,0.13664841651916504,0.1382410079240799,0.13616004586219788,0.13765141367912292,3082616.0,1.3459807123016339,1.3386609899200448,0.6701458778259156,1.4538732128878542,0.03524177017335758,0.7838264513404422,-1.186714330460642,-1.7195905147692172,0,0,0,-0.020879859185540455,0.01165496793321673,-0.06015268567420506
2023-01-18 14:00:00+00:00,0.1376626193523407,0.13861241936683655,0.13727910816669464,0.1375604271888733,0.0,1.3477100949179046,1.3397284959867808,0.6234842414805148,1.4538732128878542,0.03524177017335758,1.0159886230305637,-1.1035825306734317,-1.7195905147692172,0,0,0,-0.028095084994744324,0.0069000382132646575,-0.0682199871612091
2023-01-18 15:00:00+00:00,0.1375577449798584,0.13805453479290009,0.12886974215507507,0.12892132997512817,12280688.0,1.3353178218185948,1.33531502559212,-1.7691691420620197,1.3382001239298758,-0.1694466262445508,-2.317544355521082,-0.9439156370244285,-1.7247574442864542,0,0,0,-0.06315771913716522,0.007666989762470422,-0.07468582652225136
2023-01-18 16:00:00+00:00,0.12889069318771362,0.1291048228740692,0.12424710392951965,0.12463825196027756,22526536.0,1.3162497306261691,1.3283139729825355,-2.281026727157668,1.1513235976094496,-0.4880214184014704,-3.3598206920157883,-0.6994765617863714,-1.7342351725521263,0,1,0,-0.03601878183454842,0.07540820577167846,-0.012890319245878645
2023-01-18 17:00:00+00:00,0.12499774247407913,0.12954702973365784,0.12499774247407913,0.12777651846408844,12143128.0,1.3025644696997891,1.3237478657559087,-1.3559527213313938,1.1221201247635033,-0.4426545833164158,-2.0475394907161517,-0.4963130339965134,-1.7291261195011256,0,1,1,-0.0060225374855121415,0.10923353528013566,0.0220553788428878
2023-01-18 18:00:00+00:00,0.12773802876472473,0.12875999510288239,0.12429198622703552,0.1270114630460739,3300256.0,1.2880264789103948,1.3185633856436132,-1.4585288469319162,1.1138751598596932,-0.43056518116273884,-1.7047583328585223,-0.2944481452273412,-1.730514656539184,0,1,0,-0.027320550576639804,0.0851047652011904,-0.004924467666642915
2023-01-18 19:00:00+00:00,0.1270151138305664,0.1271245777606964,0.12549914419651031,0.12631671130657196,713168.0,1.2736496616954804,1.312380570089134,-1.5519849346330734,1.1118325926371668,-0.42264582433052106,-1.409836945943102,-0.10700217708453805,-1.730814712105285,0,1,0,-0.02179338647601159,0.09130912484696892,0.008465559426509589
2023-01-18 20:00:00+00:00,0.12634174525737762,0.12738566100597382,0.12448898702859879,0.12450513988733292,2213024.0,1.2551671654241772,1.3045891649826795,-1.7835606579485161,1.1029822679476424,-0.4595344145417921,-1.254088549915335,0.08688029268414481,-1.7317458113261066,0,1,0,-0.016582456162702455,0.09714212777181849,0.009815534345935593
2023-01-18 21:00:00+00:00,0.1244717687368393,0.12534251809120178,0.12414423376321793,0.12517890334129333,2707904.0,1.236629516932993,1.2969956916904808,-1.580593145603057,1.0939545621830753,-0.42635294806732366,-1.114784472410237,0.27361591830963294,-1.730606498194184,0,1,1,-0.0026306943947676464,0.11357483428229066,0.024921013641659343
2023-01-18 22:00:00+00:00,0.12515591084957123,0.12528450787067413,0.12352141737937927,0.1245446428656578,1411536.0,1.21618143249723,1.289048246499649,-1.6675373457970295,1.0888818278088275,-0.4441462927044356,-1.0040198477623403,0.45925701674472497,-1.7312003824312108,0,1,1,-0.013057259862195787,0.10749821382103737,0.01680758096967674
2023-01-18 23:00:00+00:00,0.12454743683338165,0.12468306720256805,0.12283214181661606,0.12345912307500839,1625312.0,1.19222220201709,1.2809182754606279,-1.8136517358368662,1.0821082952689494,-0.4623843583933703,-0.9614971622235269,0.645001532682889,-1.7318842099616811,0,1,1,-0.013772531497929032,0.11293125268042502,0.017149695033512304
2023-01-19 00:00:00+00:00,0.12344291806221008,0.12484793365001678,0.12319742143154144,0.12397382408380508,1007664.0,1.170795198671388,1.2733036856601827,-1.6412337789800666,1.0783547957510065,-0.4405783844726279,-0.8127530076041989,0.8050543168995558,-1.7314602492792621,0,1,1,-0.004947194102641921,0.12287063869237218,0.025381036297065316
2023-01-19 01:00:00+00:00,0.12397421896457672,0.12491888552904129,0.12378362566232681,0.12395220994949341,0.0,1.1489755791856788,1.265782882382019,-1.6445416944622524,1.0783547957510065,-0.44328016498472284,-0.709015312889266,0.9480142811701385,-1.7314602492792621,0,1,1,-0.009212244249145933,0.11807492840072875,0.024439097724478852
2023-01-19 02:00:00+00:00,0.12394662946462631,0.1249716654419899,0.12387054413557053,0.12492977827787399,0.0,1.1302832477336657,1.2593905601096065,-1.2974539703819958,1.0783547957510065,-0.4352888904688571,-0.6074412503519151,1.0762718910874796,-1.7314602492792621,0,1,1,-0.00899126888067887,0.11831809943675937,0.021195757494447177
2023-01-19 03:00:00+00:00,0.12493553757667542,0.12574240565299988,0.12493553757667542,0.1253223568201065,0.0,1.1121727320099852,1.2537496403986401,-1.159664672470039,1.0783547957510065,-0.43829180476157625,-0.4777566441682984,1.1294875901627865,-1.7314602492792621,0,1,1,-0.016836624454586772,0.10947655537929832,0.014142590398460953
2023-01-19 04:00:00+00:00,0.1253259778022766,0.12626728415489197,0.12529626488685608,0.1259608119726181,0.0,1.0976997913263544,1.248586598853788,-0.9341055412511442,1.0783547957510065,-0.40637408063376546,-0.3803116165202647,1.135641726152163,-1.7314602492792621,0,1,1,-0.019899370303419366,0.10601812718565377,0.009217928475533578
2023-01-19 05:00:00+00:00,0.12594614923000336,0.12634538114070892,0.12577202916145325,0.1258227676153183,46560.0,1.0838821746702096,1.2431539601130654,-0.9656476687170741,1.0782376052671627,-0.39983422685436626,-0.3306518867774845,1.1347779610479176,-1.7314798387548942,0,1,1,-0.024722033500897366,0.10055722838295643,0.004703843696391626
2023-01-19 06:00:00+00:00,0.12582243978977203,0.126316100358963,0.12566672265529633,0.12620393931865692,0.0,1.0712828497956741,1.2374790078779974,-0.8206365181443319,1.0782376052671627,-0.3919799863737286,-0.28897407563939576,1.138195372609122,-1.7314798387548942,0,1,1,-0.023765952933878412,0.10165075700899937,0.011777485150979598
2023-01-19 07:00:00+00:00,0.12617923319339752,0.1266704648733139,0.12584272027015686,0.12654055655002594,0.0,1.0569124872020985,1.231554301139078,-0.6899940040572835,1.0782376052671627,-0.4253289281672502,-0.20849115313251104,1.1083977221308403,-1.7314798387548942,0,1,0,-0.026521290815893397,0.09851662507971341,0.004637635025750929
2023-01-19 08:00:00+00:00,0.12653620541095734,0.1267635077238083,0.1262209266424179,0.12637722492218018,0.0,1.0403788426700362,1.2256179906553586,-0.7367980191246843,1.0782376052671627,-0.43235524363371813,-0.130921722178892,1.0718247116605417,-1.7314798387548942,0,1,0,-0.029271750459521104,0.09543354545864557,0.019091984649539866
2023-01-19 09:00:00+00:00,0.12636402249336243,0.126698836684227,0.12611736357212067,0.12665103375911713,0.0,1.0226652741612756,1.219232095146325,-0.6199860807559616,1.0782376052671627,-0.4548732256648951,-0.00399375828926771,1.0431977671774872,-1.7314798387548942,1,1,0,-0.027947129547441867,0.09691933717500417,0.021510943479519946
2023-01-19 10:00:00+00:00,0.12665313482284546,0.12678486108779907,0.12621130049228668,0.1264382004737854,0.0,1.00475549956073,1.2122388056054436,-0.6890845605610164,1.0782376052671627,-0.4548732256648951,0.29060298607485574,1.0073154968603468,-1.7314798387548942,0,1,0,-0.030169457704519856,0.09442705826418243,0.029715484856767067
2023-01-19 11:00:00+00:00,0.12643103301525116,0.1264389157295227,0.12507864832878113,0.12532848119735718,0.0,0.9989700472918571,1.2047213575111533,-1.0326410167806286,1.0782376052671627,-0.25018482924698676,-0.000924377097551825,1.0328581034119328,-1.7314798387548942,0,1,0,-0.028463638245003843,0.09634261090350595,0.03417852231741104
2023-01-19 12:00:00+00:00,0.12532566487789154,0.12562227249145508,0.12454526126384735,0.12486593425273895,0.0,0.9993366769823835,1.1971018695268019,-1.166041116288718,1.0782376052671627,0.06838996290993288,-0.3830764869300782,1.0810031193030432,-1.7314798387548942,0,1,1,-0.0198959010549955,0.10601544327360114,0.04560930591350112
2023-01-19 13:00:00+00:00,0.12488073110580444,0.12568114697933197,0.12413676083087921,0.12544700503349304,0.0,0.9955855341995894,1.189427073883932,-0.8753085969676075,1.0782376052671627,0.023023127824878264,-0.2708335977554522,1.1437158413620923,-1.7314798387548942,0,1,1,-0.016406310507731205,0.10997145332880011,0.05621036585111171
2023-01-19 14:00:00+00:00,0.12544795870780945,0.12617549300193787,0.12469933927059174,0.12572717666625977,0.0,0.9935174879194477,1.1827177059629077,-0.7362924410743727,1.0782376052671627,0.010933725671201305,0.11402339624195122,1.1438314997831163,-1.7314798387548942,0,1,1,-0.020851967653552145,0.10494041412556901,0.0760270762166563
2023-01-19 15:00:00+00:00,0.1257154643535614,0.12714818120002747,0.1257154643535614,0.12604090571403503,0.0,0.9930733667805393,1.1761068208602155,-0.5783384341504624,1.0782376052671627,0.01086197921987302,0.7312337472071768,1.040897581562395,-1.7314798387548942,0,1,1,-0.022933168574993647,0.10257889626766893,0.07658133872393039
