Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,VWAP,CMF,CCI,ADX,OBV,V_Pattern,Outcome,LR,HR,CR
2010-03-16,12.6899995803833,12.707500457763672,12.59749984741211,12.664999961853027,5217600.0,0.005960068349315964,0.0018838960451569992,0.7797548765851468,0.0,0.5319387118264163,0.650517956784714,0.4748399351128418,0.02290702628087926,0,0,,,
2010-03-17,12.737500190734863,12.895000457763672,12.640000343322754,12.8149995803833,5789200.0,0.006419816442668938,0.0019669089926730443,0.8329256561307496,0.0003764605092548279,0.5366696812532497,0.6712517865115568,0.5030884176443426,0.029967688433220133,0,0,-0.011054113205245547,0.012435867943403024,0.07382546141007507
2010-03-18,12.80500030517578,12.84749984741211,12.75,12.770000457763672,4003200.0,0.006866238620980417,0.0020322308378460663,0.7859559377072005,0.0006149343851978295,0.5202872285676067,0.6616732704130245,0.5293191514235933,0.025085279339001426,0,0,-0.016191998795013905,0.007023032035495429,-0.001755758008873684
2010-03-19,12.857500076293944,12.86750030517578,12.625,12.670000076293944,8669600.0,0.007209384004567873,0.0020889337323123647,0.6877765588778171,0.001048256707842754,0.4738625338313519,0.6360497731300283,0.5308508607186584,0.014511604807816728,0,0,-0.02036023645745165,0.0029365998532074867,0.01350819502691362
2010-03-22,12.645000457763672,12.854999542236328,12.59749984741211,12.817500114440918,3837600.0,0.007649143013546966,0.002182833711705079,0.7491525333748965,0.0012718091715407387,0.5055200894400809,0.6383307213128322,0.527608487292295,0.019192043741663084,0,0,-0.0037490615679188484,0.019731649447087187,0.007892614616673359
2010-03-23,12.817500114440918,12.822500228881836,12.68000030517578,12.75,6023200.0,0.008087791706115607,0.002289435084084329,0.6878455394060863,0.0015836745085348602,0.516585772846254,0.6310950755838098,0.5245977119678145,0.01184598897140475,0,0,-0.017164054227777528,0.006046447640397338,-0.006241460736631651
2010-03-24,12.699999809265137,12.739999771118164,12.63249969482422,12.677499771118164,5500400.0,0.00842316360396024,0.0023710872175071174,0.6252018081333721,0.0018312291476661469,0.4953959124884041,0.6042608475901676,0.5131592678864025,0.005137554973143214,0,0,-0.008039212694355086,0.015294168509689033,0.018039254581226884
2010-03-25,12.717499732971191,12.7524995803833,12.572500228881836,12.572500228881836,4212400.0,0.00868524233364168,0.00245319307098997,0.5417500495900613,0.0019856536738875885,0.440780661673987,0.5797488496216089,0.4920825499791838,0.0,0,0,-0.011437547364007282,0.0140012406229233,0.0029580265941049197
2010-03-26,12.645000457763672,12.664999961853027,12.524999618530272,12.602499961853027,4474800.0,0.008929553035393362,0.0025221438114262223,0.558791559905542,0.002154128233949726,0.41573204999220337,0.5568370275876713,0.4645964363876523,0.005457584985713901,0,0,-0.009544707659478227,0.01988466855826292,0.04215547610439997
2010-03-29,12.612500190734863,12.699999809265137,12.582500457763672,12.63249969482422,3418400.0,0.00910945437113514,0.002602888677772308,0.576157578256346,0.002286400441386449,0.38786088631915183,0.570003381623466,0.4434712900160885,0.009626756460453426,0,0,-0.006943112276885565,0.02241620852084262,0.03848440056697556
