Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,VWAP,CMF,CCI,ADX,OBV,V_Pattern,Outcome,LR,HR,CR
2010-03-16,13.670000076293944,13.770000457763672,13.520000457763672,13.720000267028809,1619200.0,0.04587907660056649,0.029100751038280845,0.6722246317261223,0.04842977480871263,0.804409596310747,0.4998446991189886,0.906020608716473,0.10716919686179048,0,0,,,
2010-03-17,13.710000038146973,13.949999809265137,13.699999809265137,13.760000228881836,1922600.0,0.04672606105731936,0.029969933531228538,0.6794240618691103,0.049269007478094484,0.7710869814754506,0.5071510603642103,0.875936387270146,0.11349364298754913,0,0,-0.013848365647623047,0.01749269434745705,0.18002917047783043
2010-03-18,13.789999961853027,13.81999969482422,13.550000190734863,13.670000076293944,941400.0,0.047421961866248016,0.030779172286929085,0.6487321384747083,0.04964699675357065,0.6455365461991122,0.48848296432296295,0.8356856861665318,0.1103968815276567,0,0,-0.01962205665684761,0.011627895694091225,0.1380813653289213
2010-03-19,13.06999969482422,13.699999809265137,13.020000457763672,13.06999969482422,2504200.0,0.04777906863050346,0.031363622519229015,0.47472666475098413,0.0502303140125866,0.5646376324547424,0.43218760159307396,0.7618605253308932,0.10215924604023092,0,0,-0.0036575886453179803,0.06437455080684183,0.21214342033791733
2010-03-22,12.960000038146973,13.68000030517578,12.899999618530272,13.600000381469728,1204300.0,0.04823232001059624,0.032094185443588386,0.5842590960128614,0.05066699531461316,0.5348509310658381,0.4428763893960813,0.699871698873288,0.10612082435566374,0,0,-0.004590697859041377,0.07574596742417741,0.1522570633193062
2010-03-23,13.630000114440918,13.670000076293944,13.369999885559082,13.630000114440918,1387200.0,0.0487313540628848,0.032841607359819905,0.5898872249524224,0.05116968140731548,0.534827084372007,0.45996597956601465,0.642310645734083,0.11068405730357407,0,0,-0.05367650554666797,0.02352938866532862,0.06764706253592932
2010-03-24,13.529999732971191,13.5600004196167,13.300000190734863,13.539999961853027,1842900.0,0.049202918162559825,0.03362649400017721,0.5648534691135142,0.051777931231518026,0.5581399408663479,0.43672879060004954,0.5932932242123428,0.10462178654254181,0,0,-0.04622157807419515,0.03081438538279668,0.04475426303960701
2010-03-25,13.579999923706056,14.119999885559082,13.579999923706056,13.670000076293944,2537600.0,0.04970195221484837,0.03446570471382429,0.5919964519317417,0.052667041067956166,0.5213379786362334,0.48913717810698126,0.5596971428884523,0.11296929225809635,0,0,-0.05022158841149087,0.039881828905051445,0.016248173386161406
2010-03-26,13.699999809265137,13.800000190734863,13.40999984741211,13.729999542236328,1580200.0,0.050040745822901495,0.03530304196795771,0.6046525825067156,0.05322553679800174,0.4342865481271262,0.45033474781381283,0.5172245926030812,0.11816740406914587,0,0,-0.05852232525749569,0.03072421901608438,0.0819312274548813
2010-03-29,13.770000457763672,14.449999809265137,13.770000457763672,14.369999885559082,2639300.0,0.05080989925663945,0.036235914402596284,0.7198576157651039,0.05453001753698278,0.4816974711520599,0.5737472210332825,0.5084641787401676,0.1268494547607691,0,0,-0.06336495762851974,0.049526538541363074,0.04078656115171089
2010-03-30,14.43000030517578,14.529999732971191,14.050000190734863,14.510000228881836,2824900.0,0.051487486909365776,0.03720812502087431,0.740869457708535,0.055959965439901505,0.548489037957231,0.5956970685705938,0.5035272918059472,0.1361420418098982,0,0,-0.10647186491511801,0.006958902476812465,0.009046632948937003
2010-03-31,14.399999618530272,14.81999969482422,14.34000015258789,14.5,3065100.0,0.05197278620365761,0.0381672228517239,0.7374544030922933,0.05743609724566334,0.4990403461944221,0.6137338710134881,0.5100325616865466,0.1260593101860228,0,0,-0.10337697976146706,0.028945559591236115,-0.024121255842487324
2010-04-01,14.640000343322754,14.710000038146973,14.199999809265137,14.420000076293944,2680100.0,0.05253133812275876,0.03913568690826642,0.708940998092411,0.05862451122779827,0.540302466940037,0.5700040839638962,0.5060306507278975,0.1172430467606375,0,0,-0.12000004998568843,0.01241374837941149,-0.08206900234880118
2010-04-05,14.539999961853027,15.449999809265137,14.520000457763672,15.199999809265137,2070500.0,0.05315398587025802,0.04025962970391535,0.8212153077118091,0.059866297327053286,0.5133684020259491,0.6579693469412753,0.5271692881731447,0.12405401404628365,0,0,-0.1137309524719676,0.06310678520093231,-0.07697639742055583
2010-04-06,15.119999885559082,15.5,15.039999961853027,15.460000038146973,1760100.0,0.053707959391153554,0.04143976967507591,0.8501164521183128,0.06099244176721069,0.5230486622165116,0.6649623772265622,0.5482223369237367,0.12984391190644584,0,0,-0.1460526509793515,0.025000007842716516,-0.13947367843168257
2010-04-07,15.359999656677246,15.68000030517578,14.850000381469728,15.59000015258789,2337300.0,0.05437181184926307,0.04239137456110034,0.8639585965688513,0.06250977088400766,0.5738090669300584,0.6307055039449418,0.5542081549895561,0.13753252520600667,0,0,-0.15912031255349393,0.02069861886862508,-0.16558858082960412
2010-04-08,15.489999771118164,15.630000114440918,15.34000015258789,15.5600004196167,1529300.0,0.05504482110378378,0.04303014886669006,0.8529343310612553,0.06346619653795876,0.5939873360772918,0.6113672637055503,0.5597664146221029,0.1325018503593809,0,0,-0.16613214414612823,0.01218733368813187,-0.2238614327748313
2010-04-09,15.520000457763672,15.81999969482422,15.380000114440918,15.800000190734863,1608900.0,0.05582313089731286,0.043762584893271256,0.8798502285663438,0.06453141703825516,0.5966522164476765,0.5987765509748453,0.5716602942231672,0.13779437161795424,0,0,-0.16838051211941682,0.019280156103487996,-0.18573266487058007
